ID Entry Internet_Use Freq
10104101001 2011.05 0 0
10104101001 2013.07 0 0
10104101001 2015.07 0 0
10104101001 2018.07 0 0
10104101002 2011.05 0 0
10104101002 2013.07 0 0
10104101002 2015.07 0 0
10104101002 2018.07 0 0
10104102001 2011.05 0 0
10104102001 2013.07 0 0
10104102001 2015.07 0 0
10104102001 2018.07 0 0
10104102002 2011.05 0 0
10104102002 2013.07 0 0
10104102002 2015.07 0 0
10104102002 2018.07 0 0
10104103001 2011.05 0 0
10104103001 2013.07 0 0
10104103001 2015.07 0 0
10104103001 2018.07 0 0
10104103002 2011.05 0 0
10104103002 2013.07 0 0
10104103002 2015.07 0 0
10104103002 2018.07 0 0
10104104001 2011.05 0 0
10104104001 2013.07 0 0
10104104001 2015.07 0 0
10104104001 2018.07 0 0
10104104002 2011.05 NA NA
10104104002 2013.07 0 0
10104104002 2015.07 0 0
10104104002 2018.07 0 0
10104105001 2011.05 0 0
10104105001 2013.07 0 0
10104105001 2015.07 0 0
10104105001 2018.07 0 0
10104105002 2011.05 0 0
10104105002 2013.07 0 0
10104105002 2015.07 0 0
10104105002 2018.07 0 0
10104106001 2011.05 0 0
10104106001 2013.07 0 0
10104106001 2015.07 0 0
10104106001 2018.07 0 0
10104106002 2011.05 0 0
10104107001 2011.05 0 0
10104107001 2013.07 0 0
10104107001 2015.07 0 0
10104107001 2018.07 0 0
10104107002 2011.05 NA NA
10104107002 2013.07 0 0
10104107002 2015.07 0 0
10104108001 2011.05 0 0
10104108001 2013.07 0 0
10104108001 2015.07 0 0
10104108001 2018.07 0 0
10104108002 2011.05 0 0
10104108002 2013.07 0 0
10104108002 2015.07 0 0
10104108002 2018.07 0 0
10104109001 2011.05 0 0
10104109001 2013.07 0 0
10104109001 2015.07 0 0
10104109001 2018.07 0 0
10104109002 2011.05 0 0
10104109002 2013.07 0 0
10104109002 2015.07 0 0
10104109002 2018.07 0 0
10104110001 2011.05 0 0
10104110001 2013.07 0 0
10104110001 2015.07 0 0
10104110001 2018.07 0 0
10104110002 2011.05 0 0
10104110002 2013.07 0 0
10104110002 2015.07 0 0
10104110002 2018.07 0 0
10104111001 2011.05 0 0
10104111001 2013.07 0 0
10104111001 2015.07 0 0
10104111001 2018.07 0 0
10104112001 2011.05 0 0
10104112001 2013.07 0 0
10104112001 2015.07 0 0
10104112001 2018.07 0 0
10104112002 2011.05 0 0
10104112002 2013.07 0 0
10104112002 2015.07 0 0
10104112002 2018.07 0 0
10104113001 2011.05 0 0
10104113001 2013.07 0 0
10104113001 2015.07 0 0
10104113001 2018.07 0 0
10104113002 2011.05 0 0
10104113002 2013.07 0 0
10104113002 2015.07 0 0
10104113002 2018.07 0 0
10104114001 2011.05 0 0
